Time_range,Mean Estimated,Std Dev Estimated,Mean True value Source 1,Std Dev True value Source 1
0.0,40239232.06213794,2123165.6095152306,10000000.0,0
0.25,40328051.882991344,2179589.32978265,12000000.0,0
0.5,39763070.95776135,2005451.7592848726,14000000.0,0
0.75,39212813.17381635,1957743.4148721222,16000000.0,0
1.0,39949743.136644326,2184868.8226307663,18000000.0,0
1.25,39188276.08044028,2142324.6444225446,20000000.0,0
1.5,39460201.479346074,2112908.1724501597,22000000.0,0
1.75,39505602.86590876,1983619.9588709488,24000000.0,0
2.0,39887203.472978465,1959032.5622727866,26000000.0,0
2.25,40655536.58836727,1980508.8888999938,28000000.0,0
2.5,39988523.7500843,1918755.0060506382,30000000.0,0
2.75,40780098.152870715,1947384.600285198,32000000.0,0
3.0,39991092.51793441,2196546.053589645,34000000.0,0
3.25,40012776.76915629,1862416.3479586379,36000000.0,0
3.5,39811449.01719108,2177636.125235199,38000000.0,0
3.75,40232043.109296516,2043435.6146579657,40000000.0,0
4.0,40260452.83548943,2059565.668087571,42000000.0,0
4.25,39735249.19093068,2179112.2116064555,44000000.0,0
4.5,39605222.56488399,1910461.717887275,46000000.0,0
4.75,40127769.7048091,1999598.529329074,48000000.0,0
5.0,40253787.647992805,2134763.4109754106,50000000.0,0
5.25,39453778.31218928,2099186.0385748344,52000000.0,0
5.5,39711070.126744516,1983701.0913797703,54000000.0,0
5.75,39819269.10206762,1976034.8827572076,56000000.0,0
